accession,model_entity_id,latest_version,mean_plddt,organism,tax_id,gene,description,uniprot_id,seq_length,cif_url
A0A662R243,AF-A0A662R243-F1,6,95.38,Methanosarcinales archaeon,2250255,DRN72_03465,Mannosyl-3-phosphoglycerate phosphatase,A0A662R243_9EURY,44,https://alphafold.ebi.ac.uk/files/AF-A0A662R243-F1-model_v6.cif
A0A662R2Z3,AF-A0A662R2Z3-F1,6,95.38,Methanosarcinales archaeon,2250255,DRN76_05540,ATP phosphoribosyltransferase,A0A662R2Z3_9EURY,38,https://alphafold.ebi.ac.uk/files/AF-A0A662R2Z3-F1-model_v6.cif
A0A662R4C9,AF-A0A662R4C9-F1,6,95.81,Methanosarcinales archaeon,2250255,DRN77_03130,Imidazole glycerol phosphate synthase subunit HisF,A0A662R4C9_9EURY,47,https://alphafold.ebi.ac.uk/files/AF-A0A662R4C9-F1-model_v6.cif
A0A662R555,AF-A0A662R555-F1,6,95.69,Methanosarcinales archaeon,2250255,DRN76_05225,DegT/DnrJ/EryC1/StrS aminotransferase family protein,A0A662R555_9EURY,43,https://alphafold.ebi.ac.uk/files/AF-A0A662R555-F1-model_v6.cif
A0A662RAM6,AF-A0A662RAM6-F1,6,95.69,Methanosarcinales archaeon,2250255,DRO03_11510,Type II toxin-antitoxin system HicB family antitoxin,A0A662RAM6_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A662RAM6-F1-model_v6.cif
A0A662RK02,AF-A0A662RK02-F1,6,97.62,Methanosarcinales archaeon,2250255,DRO03_02075,Desulfoferrodoxin,A0A662RK02_9EURY,37,https://alphafold.ebi.ac.uk/files/AF-A0A662RK02-F1-model_v6.cif
A0A662RTJ4,AF-A0A662RTJ4-F1,6,95.25,Methanosarcinales archaeon,2250255,DRN79_04940,Acetolactate synthase small subunit,A0A662RTJ4_9EURY,37,https://alphafold.ebi.ac.uk/files/AF-A0A662RTJ4-F1-model_v6.cif
A0A662RX65,AF-A0A662RX65-F1,6,96.06,Methanosarcinales archaeon,2250255,DRN79_00605,Molybdenum cofactor biosynthesis protein,A0A662RX65_9EURY,34,https://alphafold.ebi.ac.uk/files/AF-A0A662RX65-F1-model_v6.cif
A0A662T3H2,AF-A0A662T3H2-F1,6,96.69,Candidatus Geothermarchaeota archaeon,2250273,DRN86_04625,NADH:flavin oxidoreductase,A0A662T3H2_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A662T3H2-F1-model_v6.cif
A0A662T6Q3,AF-A0A662T6Q3-F1,6,95.69,Candidatus Geothermarchaeota archaeon,2250273,DRN87_04145,acylphosphatase,A0A662T6Q3_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A662T6Q3-F1-model_v6.cif
A0A662T947,AF-A0A662T947-F1,6,95.62,Candidatus Geothermarchaeota archaeon,2250273,DRN87_03865,Uncharacterized protein,A0A662T947_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A662T947-F1-model_v6.cif
A0A662UDV1,AF-A0A662UDV1-F1,6,95.69,Thermoprotei archaeon,2250277,DRO08_02010,Chorismate-binding protein,A0A662UDV1_9CREN,46,https://alphafold.ebi.ac.uk/files/AF-A0A662UDV1-F1-model_v6.cif
A0A6A7LI12,AF-A0A6A7LI12-F1,6,95.75,Nitrososphaeraceae archaeon,2169593,GEU26_12645,Multicopper oxidase domain-containing protein,A0A6A7LI12_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A6A7LI12-F1-model_v6.cif
A0A6A7LI67,AF-A0A6A7LI67-F1,6,95.5,Nitrososphaeraceae archaeon,2169593,GEU26_13375,SDR family oxidoreductase,A0A6A7LI67_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A6A7LI67-F1-model_v6.cif
A0A6A7LJ60,AF-A0A6A7LJ60-F1,6,95.12,Nitrososphaeraceae archaeon,2169593,GEU26_14790,Pyridoxamine 5'-phosphate oxidase N-terminal domain-containing protein,A0A6A7LJ60_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A6A7LJ60-F1-model_v6.cif
A0A6A7LLL2,AF-A0A6A7LLL2-F1,6,95.5,Nitrososphaeraceae archaeon,2169593,GEU26_19275,NADH-quinone oxidoreductase subunit NuoK,A0A6A7LLL2_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A6A7LLL2-F1-model_v6.cif
A0A6A7LMN5,AF-A0A6A7LMN5-F1,6,96.19,Nitrososphaeraceae archaeon,2169593,GEU26_18470,ASCH domain-containing protein,A0A6A7LMN5_9ARCH,37,https://alphafold.ebi.ac.uk/files/AF-A0A6A7LMN5-F1-model_v6.cif
A0A6A8AGZ0,AF-A0A6A8AGZ0-F1,6,96.75,Methanosarcinales archaeon,2250255,GH149_01965,FAD-binding protein,A0A6A8AGZ0_9EURY,33,https://alphafold.ebi.ac.uk/files/AF-A0A6A8AGZ0-F1-model_v6.cif
A0A6A8AI96,AF-A0A6A8AI96-F1,6,95.75,Methanosarcinales archaeon,2250255,GH149_04520,Rubredoxin,A0A6A8AI96_9EURY,45,https://alphafold.ebi.ac.uk/files/AF-A0A6A8AI96-F1-model_v6.cif
A0A6A8AP17,AF-A0A6A8AP17-F1,6,95.62,Methanosarcinales archaeon,2250255,GH149_01145,NAD-dependent epimerase/dehydratase family protein,A0A6A8AP17_9EURY,39,https://alphafold.ebi.ac.uk/files/AF-A0A6A8AP17-F1-model_v6.cif
A0A6A9T401,AF-A0A6A9T401-F1,6,95.06,Halapricum sp. CBA1109,2668068,GJ629_15520,KEOPS complex Pcc1-like subunit,A0A6A9T401_9EURY,46,https://alphafold.ebi.ac.uk/files/AF-A0A6A9T401-F1-model_v6.cif
A0A6B0HK18,AF-A0A6B0HK18-F1,6,95.0,Natrialba sp. INN-245,2690967,rpl39e,Large ribosomal subunit protein eL39,A0A6B0HK18_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A6B0HK18-F1-model_v6.cif
A0A6B9QZA6,AF-A0A6B9QZA6-F1,6,95.62,uncultured Candidatus Methanoperedens sp,1821055,mcrA,coenzyme-B sulfoethylthiotransferase,A0A6B9QZA6_9EURY,50,https://alphafold.ebi.ac.uk/files/AF-A0A6B9QZA6-F1-model_v6.cif
A0A6G3LQ52,AF-A0A6G3LQ52-F1,6,95.94,Acidilobus sp,1872109,GU345_02115,Uncharacterized protein,A0A6G3LQ52_9CREN,46,https://alphafold.ebi.ac.uk/files/AF-A0A6G3LQ52-F1-model_v6.cif
A0A6V8C9N9,AF-A0A6V8C9N9-F1,6,95.81,Candidatus Poseidoniales archaeon,2163009,D7I09_09630,Thioredoxin,A0A6V8C9N9_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A6V8C9N9-F1-model_v6.cif
A0A6V8CBP4,AF-A0A6V8CBP4-F1,6,97.62,Candidatus Poseidoniales archaeon,2163009,D7I09_05920,Endonuclease III,A0A6V8CBP4_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CBP4-F1-model_v6.cif
A0A6V8CC87,AF-A0A6V8CC87-F1,6,96.44,Candidatus Poseidoniales archaeon,2163009,D7I09_04940,SDR family oxidoreductase,A0A6V8CC87_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CC87-F1-model_v6.cif
A0A6V8CDD8,AF-A0A6V8CDD8-F1,6,96.69,Candidatus Poseidoniales archaeon,2163009,D7I09_02910,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit alpha,A0A6V8CDD8_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CDD8-F1-model_v6.cif
A0A6V8CLY9,AF-A0A6V8CLY9-F1,6,96.94,Candidatus Poseidoniales archaeon,2163009,D7H86_01970,NADPH:quinone reductase,A0A6V8CLY9_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CLY9-F1-model_v6.cif
A0A6V8CMT5,AF-A0A6V8CMT5-F1,6,96.75,Candidatus Poseidoniales archaeon,2163009,D7H90_06365,Phosphoribosylamine--glycine ligase,A0A6V8CMT5_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CMT5-F1-model_v6.cif
A0A6V8CMX5,AF-A0A6V8CMX5-F1,6,95.56,Candidatus Poseidoniales archaeon,2163009,D7H90_06115,Malate dehydrogenase,A0A6V8CMX5_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CMX5-F1-model_v6.cif
A0A6V8CN64,AF-A0A6V8CN64-F1,6,97.31,Candidatus Poseidoniales archaeon,2163009,D7H90_06765,nucleoside-diphosphate kinase,A0A6V8CN64_9ARCH,33,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CN64-F1-model_v6.cif
A0A6V8CNG8,AF-A0A6V8CNG8-F1,6,97.56,Candidatus Poseidoniales archaeon,2163009,D7H90_06300,Adenosylhomocysteinase,A0A6V8CNG8_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CNG8-F1-model_v6.cif
A0A6V8CNU4,AF-A0A6V8CNU4-F1,6,97.0,Candidatus Poseidoniales archaeon,2163009,D7H90_04515,Glutamate dehydrogenase,A0A6V8CNU4_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CNU4-F1-model_v6.cif
A0A6V8CPX8,AF-A0A6V8CPX8-F1,6,95.06,Candidatus Poseidoniales archaeon,2163009,D7H90_02645,peptide-methionine (R)-S-oxide reductase,A0A6V8CPX8_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CPX8-F1-model_v6.cif
A0A6V8CQS9,AF-A0A6V8CQS9-F1,6,96.69,Candidatus Poseidoniales archaeon,2163009,D7H90_01095,Malate dehydrogenase,A0A6V8CQS9_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CQS9-F1-model_v6.cif
A0A6V8CR43,AF-A0A6V8CR43-F1,6,95.81,Candidatus Poseidoniales archaeon,2163009,D7H90_01835,Uncharacterized protein,A0A6V8CR43_9ARCH,36,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CR43-F1-model_v6.cif
A0A6V8CTA7,AF-A0A6V8CTA7-F1,6,96.62,Candidatus Poseidoniales archaeon,2163009,D7H94_04135,FAD synthase,A0A6V8CTA7_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CTA7-F1-model_v6.cif
A0A6V8CUM7,AF-A0A6V8CUM7-F1,6,96.31,Candidatus Poseidoniales archaeon,2163009,D7H85_06970,Trk system potassium transporter TrkA,A0A6V8CUM7_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CUM7-F1-model_v6.cif
A0A6V8CZK2,AF-A0A6V8CZK2-F1,6,96.75,Candidatus Poseidoniales archaeon,2163009,D7H99_06670,FAD-binding protein,A0A6V8CZK2_9ARCH,34,https://alphafold.ebi.ac.uk/files/AF-A0A6V8CZK2-F1-model_v6.cif
A0A6V8D2T6,AF-A0A6V8D2T6-F1,6,96.62,Candidatus Poseidoniales archaeon,2163009,D7H85_00595,Class II fumarate hydratase,A0A6V8D2T6_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A6V8D2T6-F1-model_v6.cif
A0A6V8D831,AF-A0A6V8D831-F1,6,95.94,Candidatus Poseidoniales archaeon,2163009,D7H95_02120,N(6)-L-threonylcarbamoyladenine synthase,A0A6V8D831_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A6V8D831-F1-model_v6.cif
A0A6V8DL76,AF-A0A6V8DL76-F1,6,95.62,Candidatus Poseidoniales archaeon,2163009,D7H93_07395,UDP-N-acetylglucosamine pyrophosphorylase,A0A6V8DL76_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A6V8DL76-F1-model_v6.cif
A0A6V8DQK0,AF-A0A6V8DQK0-F1,6,95.81,Candidatus Poseidoniales archaeon,2163009,D7H72_00325,leucine--tRNA ligase,A0A6V8DQK0_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A6V8DQK0-F1-model_v6.cif
A0A6V8DTT4,AF-A0A6V8DTT4-F1,6,96.94,Candidatus Poseidoniales archaeon,2163009,D7H93_01695,nucleoside-diphosphate kinase,A0A6V8DTT4_9ARCH,34,https://alphafold.ebi.ac.uk/files/AF-A0A6V8DTT4-F1-model_v6.cif
A0A6V8DZ60,AF-A0A6V8DZ60-F1,6,95.62,Candidatus Poseidoniales archaeon,2163009,D7H87_03815,EVE domain-containing protein,A0A6V8DZ60_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A6V8DZ60-F1-model_v6.cif
A0A6V8E1N8,AF-A0A6V8E1N8-F1,6,96.12,Candidatus Poseidoniales archaeon,2163009,D7H87_00105,Ribonuclease Z,A0A6V8E1N8_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A6V8E1N8-F1-model_v6.cif
A0A6V8E4D6,AF-A0A6V8E4D6-F1,6,96.38,Candidatus Poseidoniales archaeon,2163009,D7I11_05605,Lipoyl-binding domain-containing protein,A0A6V8E4D6_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A6V8E4D6-F1-model_v6.cif
A0A6V8E5D1,AF-A0A6V8E5D1-F1,6,95.94,Candidatus Poseidoniales archaeon,2163009,D7H84_02080,Dihydroneopterin aldolase,A0A6V8E5D1_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A6V8E5D1-F1-model_v6.cif
A0A6V8E729,AF-A0A6V8E729-F1,6,95.88,Candidatus Poseidoniales archaeon,2163009,D7I11_02985,Glucose-1-phosphate thymidylyltransferase,A0A6V8E729_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A6V8E729-F1-model_v6.cif
A0A6V8ERQ8,AF-A0A6V8ERQ8-F1,6,96.38,Candidatus Poseidoniales archaeon,2163009,D7I12_05700,Adenylosuccinate synthase,A0A6V8ERQ8_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A6V8ERQ8-F1-model_v6.cif
A0A6V8ESH0,AF-A0A6V8ESH0-F1,6,95.94,Candidatus Poseidoniales archaeon,2163009,D7I12_04695,Thioredoxin-disulfide reductase,A0A6V8ESH0_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A6V8ESH0-F1-model_v6.cif
A0A6V8ESU9,AF-A0A6V8ESU9-F1,6,96.12,Candidatus Poseidoniales archaeon,2163009,D7I12_04420,7-carboxy-7-deazaguanine synthase QueE,A0A6V8ESU9_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A6V8ESU9-F1-model_v6.cif
A0A6V8EWF7,AF-A0A6V8EWF7-F1,6,95.81,Candidatus Poseidoniales archaeon,2163009,D7I16_01580,DNA-formamidopyrimidine glycosylase,A0A6V8EWF7_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A6V8EWF7-F1-model_v6.cif
A0A6V8EWP6,AF-A0A6V8EWP6-F1,6,96.88,Candidatus Poseidoniales archaeon,2163009,D7I16_01455,HEAT repeat domain-containing protein,A0A6V8EWP6_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A6V8EWP6-F1-model_v6.cif
A0A6V8EXG4,AF-A0A6V8EXG4-F1,6,97.12,Candidatus Poseidoniales archaeon,2163009,D7I16_00700,peptidylprolyl isomerase,A0A6V8EXG4_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A6V8EXG4-F1-model_v6.cif
A0A7C0XQX0,AF-A0A7C0XQX0-F1,6,95.62,Acidilobales archaeon,2268176,ENG05_01695,Glycine cleavage system protein H,A0A7C0XQX0_9CREN,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C0XQX0-F1-model_v6.cif
A0A7C0XZN5,AF-A0A7C0XZN5-F1,6,97.31,Acidilobales archaeon,2268176,ENF75_03615,2Fe-2S iron-sulfur cluster binding domain-containing protein,A0A7C0XZN5_9CREN,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C0XZN5-F1-model_v6.cif
A0A7C0Y320,AF-A0A7C0Y320-F1,6,96.62,Acidilobales archaeon,2268176,ENF75_02320,Mevalonate kinase,A0A7C0Y320_9CREN,36,https://alphafold.ebi.ac.uk/files/AF-A0A7C0Y320-F1-model_v6.cif
A0A7C1BUZ8,AF-A0A7C1BUZ8-F1,6,97.25,Acidilobales archaeon,2268176,ENG05_01585,ATP-binding protein,A0A7C1BUZ8_9CREN,31,https://alphafold.ebi.ac.uk/files/AF-A0A7C1BUZ8-F1-model_v6.cif
A0A7C1M065,AF-A0A7C1M065-F1,6,97.25,archaeon,1906665,argC,N-acetyl-gamma-glutamyl-phosphate reductase,A0A7C1M065_UNCAD,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C1M065-F1-model_v6.cif
A0A7C1M999,AF-A0A7C1M999-F1,6,95.94,Candidatus Pacearchaeota archaeon,2026773,ENH46_00755,DUF433 domain-containing protein,A0A7C1M999_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C1M999-F1-model_v6.cif
A0A7C1R072,AF-A0A7C1R072-F1,6,96.06,archaeon,1906665,ENH73_07210,3-isopropylmalate dehydratase large subunit,A0A7C1R072_UNCAD,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C1R072-F1-model_v6.cif
A0A7C1R7R2,AF-A0A7C1R7R2-F1,6,96.62,archaeon,1906665,ENH73_08430,Rubredoxin,A0A7C1R7R2_UNCAD,45,https://alphafold.ebi.ac.uk/files/AF-A0A7C1R7R2-F1-model_v6.cif
A0A7C2AFH7,AF-A0A7C2AFH7-F1,6,95.62,Thermofilum sp,1961369,ENP66_04525,Ribulose bisphosphate carboxylase large subunit C-terminal domain-containing protein,A0A7C2AFH7_9CREN,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C2AFH7-F1-model_v6.cif
A0A7C2DAU6,AF-A0A7C2DAU6-F1,6,97.75,Candidatus Aenigmatarchaeota archaeon,3121606,rpl13p,50S ribosomal protein L13,A0A7C2DAU6_9ARCH,31,https://alphafold.ebi.ac.uk/files/AF-A0A7C2DAU6-F1-model_v6.cif
A0A7C2GI08,AF-A0A7C2GI08-F1,6,96.5,Candidatus Bathyarchaeota archaeon,2026714,ENP43_05245,Lrp/AsnC family transcriptional regulator,A0A7C2GI08_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C2GI08-F1-model_v6.cif
A0A7C2L465,AF-A0A7C2L465-F1,6,95.44,Nitrososphaeria archaeon,2268198,ENP21_04995,pyruvate synthase,A0A7C2L465_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C2L465-F1-model_v6.cif
A0A7C2QK30,AF-A0A7C2QK30-F1,6,95.5,Thermofilum sp,1961369,ENN82_07895,HEPN domain-containing protein,A0A7C2QK30_9CREN,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C2QK30-F1-model_v6.cif
A0A7C2QRH1,AF-A0A7C2QRH1-F1,6,95.19,Thermofilum sp,1961369,ENN82_08520,Sugar phosphate isomerase/epimerase,A0A7C2QRH1_9CREN,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C2QRH1-F1-model_v6.cif
A0A7C2VVD2,AF-A0A7C2VVD2-F1,6,96.44,Candidatus Bathyarchaeota archaeon,2026714,ENG57_08040,Flavodoxin family protein,A0A7C2VVD2_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A7C2VVD2-F1-model_v6.cif
A0A7C3M2E6,AF-A0A7C3M2E6-F1,6,95.19,Candidatus Aenigmatarchaeota archaeon,3121606,ENW91_00790,Histone,A0A7C3M2E6_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C3M2E6-F1-model_v6.cif
A0A7C3QTI1,AF-A0A7C3QTI1-F1,6,96.12,Desulfurococcaceae archaeon,2184738,ENX99_00315,3-phosphoglycerate dehydrogenase,A0A7C3QTI1_9CREN,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C3QTI1-F1-model_v6.cif
A0A7C3S3R7,AF-A0A7C3S3R7-F1,6,96.12,Candidatus Bathyarchaeota archaeon,2026714,ENV21_03690,HEPN domain-containing protein,A0A7C3S3R7_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C3S3R7-F1-model_v6.cif
A0A7C3S9L1,AF-A0A7C3S9L1-F1,6,95.88,Candidatus Bathyarchaeota archaeon,2026714,ENV21_02240,Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein,A0A7C3S9L1_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C3S9L1-F1-model_v6.cif
A0A7C3SKL2,AF-A0A7C3SKL2-F1,6,96.38,Thermofilum pendens,2269,ENV88_01955,PIN domain-containing protein,A0A7C3SKL2_THEPE,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C3SKL2-F1-model_v6.cif
A0A7C3SL62,AF-A0A7C3SL62-F1,6,95.88,Thermofilum pendens,2269,ENV88_03650,Peptidase M28,A0A7C3SL62_THEPE,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C3SL62-F1-model_v6.cif
A0A7C3SRL8,AF-A0A7C3SRL8-F1,6,95.75,Candidatus Bathyarchaeota archaeon,2026714,ENV36_04240,Gfo/Idh/MocA family oxidoreductase,A0A7C3SRL8_9ARCH,37,https://alphafold.ebi.ac.uk/files/AF-A0A7C3SRL8-F1-model_v6.cif
A0A7C3TX69,AF-A0A7C3TX69-F1,6,96.69,Hadesarchaea archaeon,2250276,ENX37_03085,Nucleoside-diphosphate kinase,A0A7C3TX69_9ARCH,33,https://alphafold.ebi.ac.uk/files/AF-A0A7C3TX69-F1-model_v6.cif
A0A7C3V221,AF-A0A7C3V221-F1,6,95.69,Micrarchaeota archaeon,2250274,ENX28_04325,Phosphoribosylformylglycinamidine synthase,A0A7C3V221_UNCMH,32,https://alphafold.ebi.ac.uk/files/AF-A0A7C3V221-F1-model_v6.cif
A0A7C3V662,AF-A0A7C3V662-F1,6,97.38,Candidatus Bathyarchaeota archaeon,2026714,ENX75_02730,Peroxiredoxin,A0A7C3V662_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C3V662-F1-model_v6.cif
A0A7C3V6M1,AF-A0A7C3V6M1-F1,6,96.75,Candidatus Bathyarchaeota archaeon,2026714,ENX75_03035,ATP-binding cassette domain-containing protein,A0A7C3V6M1_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C3V6M1-F1-model_v6.cif
A0A7C3VBE0,AF-A0A7C3VBE0-F1,6,96.0,Archaeoglobus fulgidus,2234,ENR21_02950,Translin,A0A7C3VBE0_ARCFL,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C3VBE0-F1-model_v6.cif
A0A7C3VLX4,AF-A0A7C3VLX4-F1,6,95.12,Archaeoglobus fulgidus,2234,ENR21_02415,Acetyl-CoA C-acyltransferase,A0A7C3VLX4_ARCFL,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C3VLX4-F1-model_v6.cif
A0A7C3WCV6,AF-A0A7C3WCV6-F1,6,95.5,Candidatus Aenigmatarchaeota archaeon,3121606,ENX79_01155,TNase-like domain-containing protein,A0A7C3WCV6_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C3WCV6-F1-model_v6.cif
A0A7C3YB50,AF-A0A7C3YB50-F1,6,96.69,Candidatus Aenigmatarchaeota archaeon,3121606,ENX82_00315,Methionine--tRNA ligase,A0A7C3YB50_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C3YB50-F1-model_v6.cif
A0A7C4BA98,AF-A0A7C4BA98-F1,6,95.12,Thermofilum pendens,2269,ENV17_06945,Methionine adenosyltransferase,A0A7C4BA98_THEPE,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C4BA98-F1-model_v6.cif
A0A7C4BAF9,AF-A0A7C4BAF9-F1,6,96.0,Thermofilum pendens,2269,ENV17_05995,Glutamine-hydrolyzing GMP synthase subunit GuaA,A0A7C4BAF9_THEPE,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4BAF9-F1-model_v6.cif
A0A7C4BEL2,AF-A0A7C4BEL2-F1,6,96.88,Hadesarchaea archaeon,2250276,ENV01_04845,UDP-glucuronate decarboxylase,A0A7C4BEL2_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4BEL2-F1-model_v6.cif
A0A7C4C6T0,AF-A0A7C4C6T0-F1,6,97.0,Candidatus Bathyarchaeota archaeon,2026714,ENU63_03080,Nitroreductase domain-containing protein,A0A7C4C6T0_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4C6T0-F1-model_v6.cif
A0A7C4C740,AF-A0A7C4C740-F1,6,96.44,Candidatus Bathyarchaeota archaeon,2026714,ENU63_04235,TIGR00289 family protein,A0A7C4C740_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4C740-F1-model_v6.cif
A0A7C4CKX8,AF-A0A7C4CKX8-F1,6,95.19,Nitrososphaeria archaeon,2268198,ENU61_08170,HEPN domain-containing protein,A0A7C4CKX8_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CKX8-F1-model_v6.cif
A0A7C4CNR5,AF-A0A7C4CNR5-F1,6,95.69,Candidatus Bathyarchaeota archaeon,2026714,ENU49_03265,Uncharacterized protein,A0A7C4CNR5_9ARCH,26,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CNR5-F1-model_v6.cif
A0A7C4CNU0,AF-A0A7C4CNU0-F1,6,95.56,Candidatus Bathyarchaeota archaeon,2026714,ENU02_06640,Thiolase domain-containing protein,A0A7C4CNU0_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CNU0-F1-model_v6.cif
A0A7C4CQ25,AF-A0A7C4CQ25-F1,6,96.44,Candidatus Bathyarchaeota archaeon,2026714,hisB,Imidazoleglycerol-phosphate dehydratase,A0A7C4CQ25_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CQ25-F1-model_v6.cif
A0A7C4CRC4,AF-A0A7C4CRC4-F1,6,95.31,Candidatus Bathyarchaeota archaeon,2026714,ENU49_07860,UDP-N-acetyl-D-glucosamine dehydrogenase,A0A7C4CRC4_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CRC4-F1-model_v6.cif
A0A7C4CV75,AF-A0A7C4CV75-F1,6,95.94,Candidatus Bathyarchaeota archaeon,2026714,aksA,Homoaconitate hydratase,A0A7C4CV75_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CV75-F1-model_v6.cif
A0A7C4CVP5,AF-A0A7C4CVP5-F1,6,96.25,Nitrososphaeria archaeon,2268198,ENU32_00570,Nitroreductase family protein,A0A7C4CVP5_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4CVP5-F1-model_v6.cif
A0A7C4D0G5,AF-A0A7C4D0G5-F1,6,97.19,Candidatus Methanomethylicus sp,2282147,ENU29_01100,acylphosphatase,A0A7C4D0G5_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D0G5-F1-model_v6.cif
A0A7C4D0I2,AF-A0A7C4D0I2-F1,6,95.25,Ignisphaera aggregans,334771,ENU31_02500,Phosphoribosylanthranilate isomerase,A0A7C4D0I2_9CREN,45,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D0I2-F1-model_v6.cif
A0A7C4D0Z0,AF-A0A7C4D0Z0-F1,6,95.19,Ignisphaera aggregans,334771,ENU31_03830,Acetyl CoA synthetase,A0A7C4D0Z0_9CREN,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D0Z0-F1-model_v6.cif
A0A7C4D2B3,AF-A0A7C4D2B3-F1,6,96.62,Candidatus Methanomethylicus sp,2282147,ENU29_03350,GTPase,A0A7C4D2B3_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D2B3-F1-model_v6.cif
